epoch,accuracy,loss,val_accuracy,val_loss
0,0.9552342891693115,0.1401185542345047,0.9459443688392639,0.25348517298698425
0,0.8891090750694275,0.24454134702682495,0.8685123920440674,0.2716468274593353
1,0.8469840288162231,0.3216620087623596,0.7981271147727966,0.39914244413375854
2,0.8063963651657104,0.39109566807746887,0.8252539038658142,0.39178386330604553
3,0.8478375673294067,0.34519970417022705,0.8410478234291077,0.35396286845207214
4,0.8629375100135803,0.3246695101261139,0.7749837040901184,0.49728912115097046
5,0.8721322417259216,0.28896722197532654,0.949042558670044,0.15151382982730865
6,0.9440179467201233,0.1636529415845871,0.9478428959846497,0.15823866426944733
7,0.9492093324661255,0.14717739820480347,0.9466432332992554,0.15571142733097076
8,0.9121707677841187,0.23077967762947083,0.9446980953216553,0.24020180106163025
9,0.9066499471664429,0.24702656269073486,0.9433586597442627,0.17900268733501434
0,0.9496285915374756,0.15760044753551483,0.836470365524292,0.36848124861717224
1,0.9265069961547852,0.20497195422649384,0.968540370464325,0.12039905786514282
2,0.9696104526519775,0.11209464818239212,0.974958062171936,0.09007802605628967
3,0.9659215807914734,0.11654189229011536,0.9463986158370972,0.15952597558498383
4,0.9555937051773071,0.13986417651176453,0.9467713236808777,0.15341973304748535
5,0.9648783206939697,0.11632314324378967,0.9469810128211975,0.15801239013671875
6,0.9632659554481506,0.12149813771247864,0.9710794687271118,0.10455971956253052
7,0.9678483605384827,0.1121087446808815,0.9687266945838928,0.11311622709035873
8,0.9680081009864807,0.10712447017431259,0.9887369275093079,0.03965024650096893
9,0.9752760529518127,0.0869206041097641,0.9689130783081055,0.11218755692243576
10,0.9726753830909729,0.10036275535821915,0.9671077132225037,0.11369391530752182
11,0.9645887613296509,0.11332175880670547,0.9881778955459595,0.058246415108442307
12,0.9845556616783142,0.05892464518547058,0.9891329407691956,0.04324367642402649
13,0.9852794408798218,0.058120112866163254,0.9887486100196838,0.044418904930353165
14,0.9844807386398315,0.05588340386748314,0.9747600555419922,0.10006830096244812
15,0.9859632849693298,0.051294781267642975,0.9772992134094238,0.07942522317171097
16,0.9721711874008179,0.09377539902925491,0.9714871644973755,0.09118492901325226
17,0.9642343521118164,0.11873149126768112,0.9435682892799377,0.16860483586788177
18,0.9470478892326355,0.15868668258190155,0.9671659469604492,0.12156049907207489
19,0.9498382806777954,0.15002654492855072,0.9445117115974426,0.1505579650402069
20,0.9559730887413025,0.13546474277973175,0.9412388205528259,0.15877822041511536
21,0.9468182921409607,0.15371911227703094,0.9365798830986023,0.163094162940979
22,0.947641909122467,0.1577632576227188,0.9467713236808777,0.15514355897903442
23,0.947641909122467,0.15416157245635986,0.9570443630218506,0.12644098699092865
24,0.9480711817741394,0.156047523021698,0.9436847567558289,0.1622360348701477
25,0.9369746446609497,0.1844673752784729,0.9430791139602661,0.1736288070678711
26,0.944512128829956,0.16959290206432343,0.9456765055656433,0.16757425665855408
27,0.963250994682312,0.12612593173980713,0.981480598449707,0.07763848453760147
28,0.9774823784828186,0.08241967856884003,0.8779351711273193,0.24100005626678467
29,0.9467284083366394,0.12753529846668243,0.8711097836494446,0.246137335896492
30,0.9080526232719421,0.22553211450576782,0.9581857919692993,0.1354491412639618
